time intervals (s)
1.2304e-06
5.674000000000001e-07
4.5272e-06
2.8937199999999998e-05
9.6776e-06
2.5505600000000002e-05
2.63474e-05
5.087199999999994e-06
6.0139999999999995e-06
4.159e-06
2.5078e-06
3.77402e-05
3.0998e-06
7.4625999999999995e-06
1.0200000000000343e-08
1.78468e-05
2.03334e-05
5.084200000000001e-06
4.5248e-06
5.6556e-06
1.5244000000000002e-06
1.69806e-05
1.58666e-05
5.5528000000000004e-06
3.3384e-06
3.00726e-05
1.12672e-05
3.427600000000001e-06
3.05126e-05
1.8674000000000001e-06
1.84674e-05
8.3332e-06
1.70868e-05
6.462000000000007e-07
1.44814e-05
3.6564000000000003e-06
