FEB label,FEB SN,channel,bais regulation,external voltage (V),measured voltage (V),DAC offset (V)
3,12808,0,255,10,9.6899999999999995,-0.31
3,12808,1,255,10,9.6199999999999992,-0.38
3,12808,2,255,10,9.5800000000000001,-0.41999999999999998
3,12808,3,255,10,9.8200000000000003,-0.17999999999999999
3,12808,4,255,10,9.5999999999999996,-0.40000000000000002
3,12808,5,255,10,9.8100000000000005,-0.19
3,12808,6,255,10,9.5999999999999996,-0.40000000000000002
3,12808,7,255,10,9.5099999999999998,-0.48999999999999999
3,12808,8,255,10,9.8000000000000007,-0.20000000000000001
3,12808,9,255,10,9.5500000000000007,-0.45000000000000001
3,12808,10,255,10,9.6699999999999999,-0.33000000000000002
3,12808,11,255,10,9.8300000000000001,-0.17000000000000001
3,12808,12,255,10,9.6600000000000001,-0.34000000000000002
3,12808,13,255,10,9.5600000000000005,-0.44
3,12808,14,255,10,9.6799999999999997,-0.32000000000000001
3,12808,15,255,10,9.6400000000000006,-0.35999999999999999
3,12808,16,255,10,9.6899999999999995,-0.31
3,12808,17,255,10,9.7699999999999996,-0.23000000000000001
3,12808,18,255,10,9.7100000000000009,-0.28999999999999998
3,12808,19,255,10,9.5999999999999996,-0.40000000000000002
3,12808,20,255,10,9.5999999999999996,-0.40000000000000002
3,12808,21,255,10,9.6999999999999993,-0.29999999999999999
3,12808,22,255,10,9.7899999999999991,-0.20999999999999999
3,12808,23,255,10,9.6600000000000001,-0.34000000000000002
3,12808,24,255,10,9.6699999999999999,-0.33000000000000002
3,12808,25,255,10,9.7100000000000009,-0.28999999999999998
3,12808,26,255,10,9.6400000000000006,-0.35999999999999999
3,12808,27,255,10,9.6600000000000001,-0.34000000000000002
3,12808,28,255,10,9.5600000000000005,-0.44
3,12808,29,255,10,9.75,-0.25
3,12808,30,255,10,9.6899999999999995,-0.31
3,12808,31,255,10,9.4900000000000002,-0.51000000000000001
