FEB label,FEB SN,channel,bais regulation,external voltage (V),measured voltage (V),DAC offset (V)
4,13294,0,255,10,9.7400000000000002,-0.26000000000000001
4,13294,1,255,10,9.7400000000000002,-0.26000000000000001
4,13294,2,255,10,9.6649999999999991,-0.33500000000000002
4,13294,3,255,10,9.6899999999999995,-0.31
4,13294,4,255,10,9.7799999999999994,-0.22
4,13294,5,255,10,9.6799999999999997,-0.32000000000000001
4,13294,6,255,10,9.7300000000000004,-0.27000000000000002
4,13294,7,255,10,9.6899999999999995,-0.31
4,13294,8,255,10,9.6799999999999997,-0.32000000000000001
4,13294,9,255,10,9.6500000000000004,-0.34999999999999998
4,13294,10,255,10,9.5649999999999995,-0.435
4,13294,11,255,10,9.7799999999999994,-0.22
4,13294,12,255,10,9.5999999999999996,-0.40000000000000002
4,13294,13,255,10,9.75,-0.25
4,13294,14,255,10,9.6799999999999997,-0.32000000000000001
4,13294,15,255,10,9.8499999999999996,-0.14999999999999999
4,13294,16,255,10,9.6500000000000004,-0.34999999999999998
4,13294,17,255,10,9.7699999999999996,-0.23000000000000001
4,13294,18,255,10,9.6500000000000004,-0.34999999999999998
4,13294,19,255,10,9.6500000000000004,-0.34999999999999998
4,13294,20,255,10,9.7200000000000006,-0.28000000000000003
4,13294,21,255,10,9.6400000000000006,-0.35999999999999999
4,13294,22,255,10,9.6500000000000004,-0.34999999999999998
4,13294,23,255,10,9.7300000000000004,-0.27000000000000002
4,13294,24,255,10,9.7300000000000004,-0.27000000000000002
4,13294,25,255,10,9.6400000000000006,-0.35999999999999999
4,13294,26,255,10,9.6199999999999992,-0.38
4,13294,27,255,10,9.6600000000000001,-0.34000000000000002
4,13294,28,255,10,9.6300000000000008,-0.37
4,13294,29,255,10,9.6899999999999995,-0.31
4,13294,30,255,10,9.6600000000000001,-0.34000000000000002
4,13294,31,255,10,9.5399999999999991,-0.46000000000000002
