FEB label,FEB SN,channel,bais regulation,external voltage (V),measured voltage (V),DAC offset (V)
2,428,0,255,10,9.6449999999999996,-0.35499999999999998
2,428,1,255,10,9.6300000000000008,-0.37
2,428,2,255,10,9.7799999999999994,-0.22
2,428,3,255,10,9.6099999999999994,-0.39000000000000001
2,428,4,255,10,9.7599999999999998,-0.23999999999999999
2,428,5,255,10,9.7200000000000006,-0.28000000000000003
2,428,6,255,10,9.7699999999999996,-0.23000000000000001
2,428,7,255,10,9.7400000000000002,-0.26000000000000001
2,428,8,255,10,9.7100000000000009,-0.28999999999999998
2,428,9,255,10,9.5600000000000005,-0.44
2,428,10,255,10,9.7200000000000006,-0.28000000000000003
2,428,11,255,10,9.7100000000000009,-0.28999999999999998
2,428,12,255,10,9.7400000000000002,-0.26000000000000001
2,428,13,255,10,9.75,-0.25
2,428,14,255,10,9.6699999999999999,-0.33000000000000002
2,428,15,255,10,9.6699999999999999,-0.33000000000000002
2,428,16,255,10,9.6600000000000001,-0.34000000000000002
2,428,17,255,10,9.5800000000000001,-0.41999999999999998
2,428,18,255,10,9.6799999999999997,-0.32000000000000001
2,428,19,255,10,9.6199999999999992,-0.38
2,428,20,255,10,9.6799999999999997,-0.32000000000000001
2,428,21,255,10,9.6400000000000006,-0.35999999999999999
2,428,22,255,10,9.6899999999999995,-0.31
2,428,23,255,10,9.6899999999999995,-0.31
2,428,24,255,10,9.7799999999999994,-0.22
2,428,25,255,10,9.6899999999999995,-0.31
2,428,26,255,10,9.6400000000000006,-0.35999999999999999
2,428,27,255,10,9.7799999999999994,-0.22
2,428,28,255,10,9.6199999999999992,-0.38
2,428,29,255,10,9.6300000000000008,-0.37
2,428,30,255,10,9.7349999999999994,-0.26500000000000001
2,428,31,255,10,9.6500000000000004,-0.34999999999999998
